INFO  | 2018-09-26 11:20:40 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:20:47 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:20:47 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:20:49 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:20:49 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClient
INFO  | 2018-09-26 11:20:50 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClient
INFO  | 2018-09-26 11:20:50 | [main] ksergie.EventHandler (EventHandler.java:87) - About to click on the [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:50 | [main] ksergie.EventHandler (EventHandler.java:25) - inside method afterClickOn on [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:50 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:50 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:51 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: Online Support
INFO  | 2018-09-26 11:20:51 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:20:53 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:20:53 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClient
INFO  | 2018-09-26 11:20:53 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClient
INFO  | 2018-09-26 11:20:53 | [main] ksergie.EventHandler (EventHandler.java:87) - About to click on the [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:25) - inside method afterClickOn on [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: Online Support
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClientMinimize
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClientMinimize
INFO  | 2018-09-26 11:20:54 | [main] ksergie.EventHandler (EventHandler.java:87) - About to click on the [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClientMinimize]
INFO  | 2018-09-26 11:20:55 | [main] ksergie.EventHandler (EventHandler.java:25) - inside method afterClickOn on [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClientMinimize]
INFO  | 2018-09-26 11:20:55 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClientNewMessages
INFO  | 2018-09-26 11:20:55 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClientNewMessages
INFO  | 2018-09-26 11:20:55 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: 0
INFO  | 2018-09-26 11:20:55 | [main] ksergie.EventHandler (EventHandler.java:132) - Just before beforeNavigateTo https://exitget.com
INFO  | 2018-09-26 11:20:57 | [main] ksergie.EventHandler (EventHandler.java:59) - Inside the afterNavigateTo to https://exitget.com
INFO  | 2018-09-26 11:20:57 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClient
INFO  | 2018-09-26 11:20:57 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClient
INFO  | 2018-09-26 11:20:57 | [main] ksergie.EventHandler (EventHandler.java:87) - About to click on the [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:25) - inside method afterClickOn on [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClient]
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.xpath: //div[@id='chatClientHeader']/div
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: Online Support
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClientText
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClientText
INFO  | 2018-09-26 11:20:58 | [main] ksergie.EventHandler (EventHandler.java:81) - Inside the beforeChangeValueOf method
INFO  | 2018-09-26 11:21:00 | [main] ksergie.EventHandler (EventHandler.java:19) - inside method afterChangeValueOf on [[ChromeDriver: chrome on XP (f833877ab20cb329c6b61f3207a15b2a)] -> id: chatClientText]
INFO  | 2018-09-26 11:21:01 | [main] ksergie.EventHandler (EventHandler.java:94) - Just before finding elementBy.id: chatClientContent
INFO  | 2018-09-26 11:21:02 | [main] ksergie.EventHandler (EventHandler.java:31) - Element found - By.id: chatClientContent
INFO  | 2018-09-26 11:21:02 | [main] ksergie.EventHandler (EventHandler.java:165) - We have got this text: Hello, this is Andrew from Exitget, do you have any questions I can help you with today?
Automated
Andrew (Support)
